Review,Star,Sentiment
"
*Staff was not on sight, but the chit-chatting was so obvious.
*Employees lack common sense-customer service.
I was standing there for almost 5 min., until one employee was ready to leave and told staff to take care of me.",1,Negative
"
A women that works here at night should be fired. Can't even keep track of her orders with an empty driveway. Ridiculous.",1,Negative
"
The lady taking payment was cold. Gave you what you asked for but couldnt aknowledge you as a human being. Also my quesadilla came in the aluminum foil just as always only this time it looks like they cooked it inside the wrapper because its burnt into the foil and its all torn apart. The aluminum and the quesadilla fused together!!!  You can hold it by a thin piece of aluminum and it wont fall! Swing this thing at a baseball and your guaranteed a home run!",1,Negative
"
They are giving out peoples online orders to the wrong people. Placed an order through the app at 11:12pm go to pick it up and say they gave the last online order out… tells me to call the 1800 number. Meanwhile they close at 12 but they are all standing outside at 11:45pm.",1,Negative
"
I ordered through grub hub the food arrived cold and Taco bell forgot my 15 sauces smh whats taco bell without any sauce?",1,Negative
"
Waited for over hour this is so bad and to have cold food is so not worth it !",1,Negative
"
Just got hung up on by a manger for asking was they hiring for they location (it was a guy) and I know it wasn’t the female GM because she is always nice, but you guys don’t even realize you hung up on somebody that works for the same company. Definitely will be reporting to HR & Corporate/inspire brand.
He sound like he wasn’t in a good mood, they have a hiring sign out side and the young lady that pick up said they was hiring but I guess your lame assistant manger or lead wasn’t in the best mood. Literally has been the worse experience ever since they open.",1,Negative
"
Bunch of lazy employees. Waited over 20 minutes for a mobile order.",1,Negative
"
I usually don't make reviews but this time is different. I used be happy with the quality food control this taco bell branch used to have since I've been living on the west side of chicago food here was better employees and employers care a lot more about how food use to be delivered or handled now people only care about a paycheck I am very very disappointed and I really hope they try harder to improve the so very disappointing job they are doing.",1,Negative
"
HORRIBLE
I KNOW ITS NOT THE BEST FOOD IN THE WORLD BUT THEY LITERALLY TOOK 25 min for my order and items were missing and all the combo drinks!! NEVER coming back!",1,Negative
"
Place is not open. Doors are always locked",1,Negative
"
They said their only taking cash I know that’s a lie, I work at restaurants you just don’t want to count your money draw again. Then I said what time you close he said now, it’s 11:15 at that moment.I  Look on the website it says 12 Am. Get it together. It’s too many people that need jobs for workers to be like this.",1,Negative
"
Asked for steak. TWICE. Got nothing but beans and lettuce. I think they are laundering the beef here. Its bad. Just avoid. Also who designed the entrance? Its multiple car accidents waiting to happen.",1,Negative
"
Took close to 30 minutes to get fries and one taco",1,Negative
"
Worst taco bell experience ever! The drive-thru guy taking my order was RUDE! I went on the afternoon of June 19th.

Also, the food was TERRIBLE! The chulupas tasted like they had been sitting out for hours and they made me feel sick!

I would avoid this location until they get their operations in order.",1,Negative
"
Worst Taco Bell. Poor and slow service.",1,Negative
